# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|06|079|2007|61103|1|1|012|061|20180110|05:00|2.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|06:00|2.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|07:00|3.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|08:00|3.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|09:00|4.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|10:00|6.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|11:00|7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|12:00|9.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|13:00|11.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|14:00|11.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|15:00|9.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|16:00|8.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|17:00|4.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|18:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|19:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|20:00|0.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|21:00|1.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|22:00|1.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180110|23:00|1.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|00:00|1.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|01:00|0.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|02:00|1.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|03:00|2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|04:00||AW||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|05:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|06:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|07:00|1.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|08:00|3.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|09:00|3.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|10:00|4.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|11:00|5.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|12:00|8.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|13:00|7.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|14:00|6.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|15:00|8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|16:00|5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|17:00|0.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|18:00|1.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|19:00|1.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|20:00|0.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|21:00|2.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|22:00|2.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180111|23:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180112|00:00|1.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180112|01:00|1.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180112|02:00|1.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180112|03:00|1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180112|04:00|0.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180112|05:00|1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180112|06:00|2.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180112|07:00|1|||||||||||||||
